model,early,mid,late
logistic,0.9828431372549019,0.9338235294117647,0.9093137254901961
qualifying_baseline,0.8529411764705882,0.8774509803921569,0.8284313725490196
random_forest,0.9754901960784313,0.9411764705882353,0.926470588235294
xgboost,0.9754901960784313,0.9142156862745098,0.9044117647058824
