model,early,mid,late
logistic,0.5881944444444445,0.5348214285714286,0.4717111592111592
qualifying_baseline,0.55,0.518562030075188,0.525437675070028
random_forest,0.5722222222222222,0.5408234126984127,0.5119708994708995
xgboost,0.5548611111111111,0.5054398148148148,0.49593253968253964
