model,early,mid,late
logistic,0.875,0.75,0.625
qualifying_baseline,0.75,0.7916666666666666,0.7083333333333333
random_forest,0.75,0.75,0.6666666666666666
xgboost,0.7916666666666666,0.6666666666666666,0.6666666666666666
