model,early,mid,late
logistic,0.17103560789306793,0.20147345800530186,0.260030930163863
qualifying_baseline,0.3546843246135956,0.2972453264869132,0.41212332274027796
random_forest,0.16429707122798057,0.2071495674045712,0.24485733452916225
xgboost,0.18958353030483852,0.23322631532565977,0.25428112525439694
