model,early,mid,late
logistic,0.05038435763725699,0.05921796613202418,0.07878177549356609
qualifying_baseline,0.0736,0.061349999999999995,0.08585
random_forest,0.04594084648574986,0.060382565964632366,0.07178898250052196
xgboost,0.05201171244504947,0.06672036235914343,0.07307349579360811
