driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PIA,MCLAREN,1.0,1.6056794728630186,3
VER,RED BULL RACING,2.0,1.553680829416595,3
RUS,MERCEDES,3.0,1.3961555272112014,3
NOR,MCLAREN,4.0,1.159102887970093,3
ALO,ASTON MARTIN,5.0,0.4418274827824963,3
SAI,WILLIAMS,6.0,0.4402981109164173,3
ALB,WILLIAMS,7.0,0.3775938644074843,3
STR,ASTON MARTIN,8.0,0.2124217028717394,3
HAD,RACING BULLS,9.0,-0.039924655030071414,3
GAS,ALPINE,10.0,-0.10262890153902611,3
LEC,FERRARI,11.0,0.17724614995209725,2
HAM,FERRARI,12.0,-0.0689827204854412,2
ANT,MERCEDES,13.0,-0.07968832354795043,2
BOR,KICK SAUBER,14.0,-0.8260217941909171,2
COL,ALPINE,15.0,-0.819904306726623,1
LAW,RACING BULLS,16.0,-1.0080170462534437,1
HUL,KICK SAUBER,17.0,-1.2205997356373972,1
OCO,HAAS F1 TEAM,18.0,-1.3658900629142026,1
BEA,HAAS F1 TEAM,19.0,-1.8323484820660676,1
TSU,RED BULL RACING,20.0,0.0,1
