driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PIA,MCLAREN,1.0,1.6380863441221973,3
NOR,MCLAREN,2.0,1.2947822118368897,3
VER,RED BULL RACING,3.0,1.1420200859874328,3
RUS,MERCEDES,4.0,1.1420200859874328,3
HAM,FERRARI,5.0,0.818427195747193,3
ANT,MERCEDES,6.0,0.7100153644991913,3
LEC,FERRARI,7.0,0.6771632944240471,3
GAS,ALPINE,8.0,0.565466256168538,3
HAD,RACING BULLS,9.0,0.4784082704693928,3
ALO,ASTON MARTIN,10.0,0.425844958349134,3
ALB,WILLIAMS,11.0,-0.1605644924923064,2
BOR,KICK SAUBER,12.0,-0.349463895424415,2
LAW,RACING BULLS,13.0,-0.360962119950726,2
STR,ASTON MARTIN,14.0,-0.8455301535592029,2
BEA,HAAS F1 TEAM,15.0,-1.2676792540248754,2
HUL,KICK SAUBER,16.0,-1.062353816055183,1
OCO,HAAS F1 TEAM,17.0,-1.0804224545965089,1
SAI,WILLIAMS,18.0,-1.0837076616040395,1
COL,ALPINE,19.0,-1.2988887205962776,1
TSU,RED BULL RACING,20.0,-1.3826614992879154,1
