driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.7414533284187161,3
PIA,MCLAREN,2.0,1.5917001462490523,3
LEC,FERRARI,3.0,1.1459642040264473,3
VER,RED BULL RACING,4.0,1.14067879759693,3
ALB,WILLIAMS,5.0,0.6156617589315911,3
RUS,MERCEDES,6.0,0.5117154324844018,3
TSU,RED BULL RACING,7.0,0.46943218104826373,3
HAD,RACING BULLS,8.0,0.4236253253257892,3
LAW,RACING BULLS,9.0,0.3919128867486857,3
BOR,KICK SAUBER,10.0,-1.4738355828708298,3
OCO,HAAS F1 TEAM,11.0,0.044837864543727686,2
BEA,HAAS F1 TEAM,12.0,-0.11724793262812643,2
GAS,ALPINE,13.0,-0.14543676691886842,2
HUL,KICK SAUBER,14.0,-0.275810125513619,2
SAI,WILLIAMS,15.0,-0.3656620348154123,2
HAM,FERRARI,16.0,-0.6845482227296033,1
COL,ALPINE,17.0,-0.8307778006129307,1
ANT,MERCEDES,18.0,-1.0369086513640786,1
ALO,ASTON MARTIN,19.0,-1.4703119785844934,1
STR,ASTON MARTIN,20.0,-1.6764428293356413,1
