driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.3659642183678917,3
NOR,MCLAREN,2.0,1.3474164722627542,3
PIA,MCLAREN,3.0,1.2979558159823945,3
LEC,FERRARI,4.0,0.8775402375992822,3
RUS,MERCEDES,5.0,0.848172972932829,3
ANT,MERCEDES,6.0,0.4818549873563609,3
HAD,RACING BULLS,7.0,0.46021595023370765,3
HAM,FERRARI,8.0,0.3968444843744947,3
ALB,WILLIAMS,9.0,0.38911625683069473,3
BEA,HAAS F1 TEAM,10.0,-0.00038641137719545805,3
GAS,ALPINE,11.0,0.06916763651707064,2
SAI,WILLIAMS,12.0,0.0475285993944174,2
ALO,ASTON MARTIN,13.0,-0.04675577664003953,2
LAW,RACING BULLS,14.0,-0.060666586218892746,2
TSU,RED BULL RACING,15.0,-0.20595726404245618,2
HUL,KICK SAUBER,16.0,-1.0869752040364495,1
BOR,KICK SAUBER,17.0,-1.1673487704920533,1
OCO,HAAS F1 TEAM,18.0,-1.2817265381403946,1
DOO,ALPINE,19.0,-1.561488375226206,1
STR,ASTON MARTIN,20.0,-2.1704727056782103,1
