driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.6410468713458544,3
SAI,WILLIAMS,2.0,0.942182213859081,3
LAW,RACING BULLS,3.0,0.7784314991341523,3
ANT,MERCEDES,4.0,0.7638108996051326,3
RUS,MERCEDES,5.0,0.24770373623101125,3
TSU,RED BULL RACING,6.0,0.14097335966921143,3
NOR,MCLAREN,7.0,0.0006156041906893036,3
HAD,RACING BULLS,8.0,-0.19383836954516606,3
PIA,MCLAREN,9.0,1.2068150653341974,2
LEC,FERRARI,10.0,1.0532987702795638,2
ALO,ASTON MARTIN,11.0,0.5591225061989614,2
HAM,FERRARI,12.0,0.08249096155315362,2
BOR,KICK SAUBER,13.0,-0.054942674019552114,2
STR,ASTON MARTIN,14.0,-1.2011976770941148,2
BEA,HAAS F1 TEAM,15.0,-0.6236839956981193,1
COL,ALPINE,16.0,-0.7888967703759562,1
HUL,KICK SAUBER,17.0,-0.9891989839234235,1
GAS,ALPINE,18.0,-1.3152383534203933,1
ALB,WILLIAMS,19.0,-2.2494946633242856,1
OCO,HAAS F1 TEAM,20.0,0.0,1
