driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,1.4848280053669527,3
ANT,MERCEDES,2.0,1.2522897459954723,3
HAD,RED BULL RACING,3.0,0.8618159452761429,3
LEC,FERRARI,4.0,0.8427684428020281,3
PIA,MCLAREN,5.0,0.8007052081716952,3
NOR,MCLAREN,6.0,0.7253088442116614,3
HAM,FERRARI,7.0,0.7229279064023971,3
LAW,RACING BULLS,8.0,0.31340660320894165,3
LIN,RACING BULLS,9.0,-0.6810317551270941,3
BOR,AUDI,10.0,0.1332489756412769,2
HUL,AUDI,11.0,0.06817000885472575,2
BEA,HAAS F1 TEAM,12.0,0.06182084136334666,2
OCO,HAAS F1 TEAM,13.0,-0.08103542719250256,2
GAS,ALPINE,14.0,-0.0889718865567208,2
ALB,WILLIAMS,15.0,-0.4381760985821425,2
COL,ALPINE,16.0,-0.6992856116647836,2
ALO,ASTON MARTIN,17.0,-1.2540441212233526,1
PER,CADILLAC,18.0,-1.7588029367873816,1
BOT,CADILLAC,19.0,-2.2659426901606636,1
STR,ASTON MARTIN,,0.0,1
VER,RED BULL RACING,,0.0,1
SAI,WILLIAMS,,0.0,1
