driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.578795348283681,3
LEC,FERRARI,2.0,1.1780992505392933,3
RUS,MERCEDES,3.0,1.0410190065740994,3
SAI,FERRARI,4.0,1.0023553480198055,3
PER,RED BULL RACING,5.0,0.9496321772639618,3
ALO,ASTON MARTIN,6.0,0.9408449821379962,3
NOR,MCLAREN,7.0,0.814309372323971,3
PIA,MCLAREN,8.0,0.6930460795855303,3
HAM,MERCEDES,9.0,0.6455952259052959,3
HUL,HAAS F1 TEAM,10.0,-0.7462964820489302,3
TSU,RB,11.0,-0.09077172565131401,2
STR,ASTON MARTIN,12.0,-0.215549896440136,2
ALB,WILLIAMS,13.0,-0.2524561159692266,2
RIC,RB,14.0,-0.35263014040532986,2
MAG,HAAS F1 TEAM,15.0,-0.7937473357291895,2
BOT,KICK SAUBER,16.0,-1.1926859944483992,1
ZHO,KICK SAUBER,17.0,-1.1944434334736025,1
SAR,WILLIAMS,18.0,-1.217290140801118,1
OCO,ALPINE,19.0,-1.2577112383806148,1
GAS,ALPINE,20.0,-1.5301142872857745,1
