driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,0.5477667742123064,3
SAI,FERRARI,2.0,0.5185969954410161,3
GAS,ALPINE,3.0,0.44299369127869015,3
LEC,FERRARI,4.0,0.4075732456278374,3
VER,RED BULL RACING,5.0,0.40340613437479717,3
NOR,MCLAREN,6.0,0.34060181477538637,3
TSU,RB,7.0,0.3343511478958239,3
PIA,MCLAREN,8.0,0.3331605446806677,3
HUL,HAAS F1 TEAM,9.0,0.3245286713707971,3
HAM,MERCEDES,10.0,-3.0,3
OCO,ALPINE,11.0,0.2772021935683953,2
MAG,HAAS F1 TEAM,12.0,0.2545807324804577,2
ZHO,KICK SAUBER,13.0,0.17451266626130144,2
COL,WILLIAMS,14.0,0.12004256916797534,2
LAW,RB,15.0,-0.031164039156676475,2
PER,RED BULL RACING,16.0,-0.0008036571702300717,1
ALO,ASTON MARTIN,17.0,-0.03146168996046235,1
ALB,WILLIAMS,18.0,-0.0811693741931722,1
BOT,KICK SAUBER,19.0,-0.08265762821211847,1
STR,ASTON MARTIN,20.0,-0.09873077161670352,1
