driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.678829520017548,3
LEC,FERRARI,2.0,1.538298538424086,3
PIA,MCLAREN,3.0,1.4532063844317182,3
HAM,FERRARI,4.0,1.1270197941276536,3
VER,RED BULL RACING,5.0,0.7569978517669269,3
HAD,RACING BULLS,6.0,0.4295219864023659,3
ALO,ASTON MARTIN,7.0,0.42823271134186935,3
OCO,HAAS F1 TEAM,8.0,0.4050257602530601,3
LAW,RACING BULLS,9.0,0.16393132394134505,3
ALB,WILLIAMS,10.0,0.05563221886016793,3
SAI,WILLIAMS,11.0,-0.13646976515289883,2
TSU,RED BULL RACING,12.0,-0.2048013433589034,2
HUL,KICK SAUBER,13.0,-0.4381601293076576,2
RUS,MERCEDES,14.0,-0.3234146489240161,1
ANT,MERCEDES,15.0,-0.804314246486913,1
BOR,KICK SAUBER,16.0,-0.8326782978177084,1
BEA,HAAS F1 TEAM,17.0,-0.9319524774754647,1
GAS,ALPINE,18.0,-0.951291603382821,1
STR,ASTON MARTIN,19.0,-1.6848891128018468,1
COL,ALPINE,20.0,-1.728724464858509,1
