driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,1.4886165920116228,3
VER,RED BULL RACING,2.0,1.2060235598837823,3
PIA,MCLAREN,3.0,0.9203251098204785,3
ANT,MERCEDES,4.0,0.9001398932399106,3
NOR,MCLAREN,5.0,0.8240571538208894,3
HAM,FERRARI,6.0,0.6656808391118759,3
LEC,FERRARI,7.0,0.516620778209275,3
HAD,RACING BULLS,8.0,0.42035282220968584,3
BEA,HAAS F1 TEAM,9.0,0.3861932249195211,3
ALO,ASTON MARTIN,10.0,0.251107544726539,3
HUL,KICK SAUBER,11.0,-0.037696323272250365,2
LAW,RACING BULLS,12.0,-0.3156312284968623,2
TSU,RED BULL RACING,13.0,-0.3668706244321314,2
BOR,KICK SAUBER,14.0,-1.0919857123645462,1
STR,ASTON MARTIN,15.0,-1.2922851692024164,1
COL,ALPINE,16.0,-1.3435245651376855,1
OCO,HAAS F1 TEAM,17.0,-1.3543935279118409,1
GAS,ALPINE,18.0,-1.7767303671358474,1
ALB,WILLIAMS,19.0,0.0,1
SAI,WILLIAMS,20.0,0.0,1
