driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.3471640634556912,3
PIA,MCLAREN,2.0,1.1824858074196747,3
NOR,MCLAREN,3.0,1.1585035371231687,3
RUS,MERCEDES,4.0,1.1281259947476094,3
HAM,FERRARI,5.0,1.0226040054429824,3
LEC,FERRARI,6.0,0.9810347369290461,3
ANT,MERCEDES,7.0,0.5765337779279913,3
BEA,HAAS F1 TEAM,8.0,0.4214484300105774,3
ALO,ASTON MARTIN,9.0,0.18162572704553892,3
GAS,ALPINE,10.0,-0.0805804281962538,3
SAI,WILLIAMS,11.0,-0.018226525425337873,2
TSU,RED BULL RACING,12.0,-0.14613196700669628,2
HAD,RACING BULLS,13.0,-0.2068870517578603,2
ALB,WILLIAMS,14.0,-0.24685750225202202,2
OCO,HAAS F1 TEAM,15.0,-0.34438540145782115,2
LAW,RACING BULLS,16.0,-1.12780623114365,1
BOR,KICK SAUBER,17.0,-1.1373991392622524,1
STR,ASTON MARTIN,18.0,-1.2301305844087504,1
HUL,KICK SAUBER,19.0,-1.3420478457924305,1
COL,ALPINE,20.0,-2.119073403399206,1
