driver,team,qualifying_position,gap_to_pole_norm,quali_stage
RUS,MERCEDES,1.0,1.2022873592579286,3
ANT,MERCEDES,2.0,1.1427283708990488,3
NOR,MCLAREN,3.0,1.07003137040218,3
PIA,MCLAREN,4.0,1.024486261657147,3
HAM,FERRARI,5.0,0.9482857912568228,3
VER,RED BULL RACING,6.0,0.9141269596980512,3
HAD,RED BULL RACING,7.0,0.8896026703738007,3
LEC,FERRARI,8.0,0.8536921038633014,3
LIN,RACING BULLS,9.0,0.5874283912000642,3
COL,ALPINE,10.0,0.22219165376398,3
HUL,AUDI,11.0,0.05665270082532995,2
LAW,RACING BULLS,12.0,0.04701815859079632,2
BOR,AUDI,13.0,-0.10538278220986465,2
GAS,ALPINE,14.0,-0.20698340941030943,2
SAI,WILLIAMS,15.0,-0.28230801233477604,2
BEA,HAAS F1 TEAM,16.0,-0.4075570613836012,2
OCO,HAAS F1 TEAM,17.0,-0.7833042085300767,1
ALB,WILLIAMS,18.0,-0.7885594133852722,1
ALO,ASTON MARTIN,19.0,-1.0907336925590088,1
PER,CADILLAC,20.0,-1.2948108144357686,1
STR,ASTON MARTIN,21.0,-1.9657253009490447,1
BOT,CADILLAC,22.0,-2.0331670965907302,1
