driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.4171926274883997,3
VER,RED BULL RACING,2.0,1.3847718639198754,3
HAM,MERCEDES,3.0,0.9017024867491311,3
RUS,MERCEDES,4.0,0.8984604103922649,3
LEC,FERRARI,5.0,0.8530713413963678,3
SAI,FERRARI,6.0,0.8449661505042252,3
GAS,ALPINE,7.0,0.6488205309147618,3
PER,RED BULL RACING,8.0,0.31812874251597095,3
OCO,ALPINE,9.0,0.21438229909675782,3
PIA,MCLAREN,10.0,0.39918065143725856,2
ALO,ASTON MARTIN,11.0,0.2095191845614815,2
BOT,KICK SAUBER,12.0,0.049036404897362454,2
HUL,HAAS F1 TEAM,13.0,-0.0855097639119418,2
STR,ASTON MARTIN,14.0,-0.18601413097431171,2
ZHO,KICK SAUBER,15.0,-0.7793141042780015,2
MAG,HAAS F1 TEAM,16.0,-1.1019007017846496,1
TSU,RB,17.0,-1.179710534349071,1
RIC,RB,18.0,-1.325603970407361,1
ALB,WILLIAMS,19.0,-1.452044948324546,1
SAR,WILLIAMS,20.0,-2.0291345398439735,1
