driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.1779275663877626,3
NOR,MCLAREN,2.0,1.0224787965381021,3
PIA,MCLAREN,3.0,0.9379817473667096,3
LEC,FERRARI,4.0,0.9096010590954041,3
SAI,FERRARI,5.0,0.9018608713850473,3
RUS,MERCEDES,6.0,0.8973457618873361,3
HAM,MERCEDES,7.0,0.8612248859056739,3
ALB,WILLIAMS,8.0,0.655464895938694,3
ALO,ASTON MARTIN,9.0,0.5722578780523578,3
GAS,ALPINE,10.0,0.5529074087764749,3
HUL,HAAS F1 TEAM,11.0,-0.22562647175689324,2
STR,ASTON MARTIN,12.0,-0.250782081815553,2
OCO,ALPINE,13.0,-0.26432741030867746,2
SAR,WILLIAMS,14.0,-0.3127035834984077,2
BOT,ALFA ROMEO,15.0,-0.8074305813186946,1
PER,RED BULL RACING,15.0,-0.9170832405487469,1
TSU,ALPHATAURI,16.0,-0.9538491321729419,1
ZHO,ALFA ROMEO,17.0,-1.0170606651408531,1
DEV,ALPHATAURI,18.0,-1.2686167657274414,1
MAG,HAAS F1 TEAM,19.0,-2.471570939045352,1
