driver,team,qualifying_position,gap_to_pole_norm,quali_stage
NOR,MCLAREN,1.0,1.303138478746465,3
HAM,FERRARI,2.0,1.294191052000325,3
LEC,FERRARI,3.0,1.1256811816146977,3
ANT,MERCEDES,4.0,1.1003301391672977,3
PIA,MCLAREN,5.0,0.9474782655874151,3
VER,RED BULL RACING,6.0,0.9169078908714406,3
RUS,MERCEDES,7.0,0.8908112295285255,3
HAD,RED BULL RACING,8.0,0.819231815559417,3
LIN,RACING BULLS,9.0,0.5023437849669663,3
HUL,AUDI,10.0,0.20036813228475572,3
LAW,RACING BULLS,11.0,0.14146423953934187,2
GAS,ALPINE,12.0,0.08256034679392803,2
COL,ALPINE,13.0,-0.053887911084705246,2
BOR,AUDI,14.0,-0.1120461849346145,2
OCO,HAAS F1 TEAM,15.0,-0.5810404702114221,2
ALO,ASTON MARTIN,16.0,-0.6362162684792919,2
BEA,HAAS F1 TEAM,17.0,-0.9531042990717321,1
SAI,WILLIAMS,18.0,-1.2424044305302373,1
ALB,WILLIAMS,19.0,-1.2699923296641722,1
STR,ASTON MARTIN,20.0,-1.2707379485596875,1
BOT,CADILLAC,21.0,-1.4399934378408195,1
PER,CADILLAC,22.0,-1.765083276283895,1
