driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.2325616998173734,3
VER,RED BULL RACING,2.0,1.0377717590861946,3
NOR,MCLAREN,3.0,0.9621908041652596,3
RUS,MERCEDES,4.0,0.9204062112008431,3
LEC,FERRARI,5.0,0.9056587078016362,3
HAM,FERRARI,6.0,0.9044297491850385,3
PIA,MCLAREN,7.0,0.8300777528807011,3
LIN,RACING BULLS,8.0,0.7520388807265707,3
BOR,AUDI,9.0,0.4540164162009439,3
HAD,RED BULL RACING,10.0,0.334192951082397,2
LAW,RACING BULLS,11.0,0.1516925965172122,2
GAS,ALPINE,12.0,0.022037462465857804,2
COL,ALPINE,13.0,-0.015445775340453783,2
HUL,AUDI,14.0,-0.1868855023562334,2
SAI,WILLIAMS,15.0,-0.2520203090360578,2
BEA,HAAS F1 TEAM,16.0,-0.2532492676526555,2
ALB,WILLIAMS,17.0,-0.4627867117830499,1
OCO,HAAS F1 TEAM,18.0,-0.8812471207355268,1
BOT,CADILLAC,19.0,-0.8947656655181273,1
PER,CADILLAC,20.0,-0.9857086031465724,1
ALO,ASTON MARTIN,21.0,-2.2337160783043997,1
STR,ASTON MARTIN,22.0,-2.3412499572569527,1
