driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.362158726090373,3
VER,RED BULL RACING,2.0,1.326329387709134,3
HAM,FERRARI,3.0,1.1721799086270293,3
LEC,FERRARI,4.0,1.1121865978491277,3
HAD,RED BULL RACING,5.0,1.0430276423690505,3
RUS,MERCEDES,6.0,1.033861997666875,3
PIA,MCLAREN,7.0,0.8847119611495955,3
NOR,MCLAREN,8.0,0.7672250608762047,3
GAS,ALPINE,9.0,0.3831012238121554,3
LAW,RACING BULLS,10.0,0.228118504302576,3
ALB,WILLIAMS,11.0,-0.08434665599898354,2
SAI,WILLIAMS,12.0,-0.10767738796815965,2
HUL,AUDI,13.0,-0.1801693051581242,2
COL,ALPINE,14.0,-0.2576606649129139,2
LIN,RACING BULLS,15.0,-0.46847049306303284,2
BOR,AUDI,16.0,-0.8309300790128438,1
OCO,HAAS F1 TEAM,17.0,-0.8634264556841954,1
PER,CADILLAC,18.0,-0.8842574663709708,1
BEA,HAAS F1 TEAM,19.0,-0.9400845750115103,1
BOT,CADILLAC,20.0,-1.3308743354953343,1
ALO,ASTON MARTIN,21.0,-1.385868203708411,1
STR,ASTON MARTIN,22.0,-1.9791353880676414,1
