driver,team,qualifying_position,gap_to_pole_norm,quali_stage
HAM,MERCEDES,1.0,1.183880725550408,3
VER,RED BULL RACING,2.0,1.180670491739542,3
NOR,MCLAREN,3.0,1.092924100909206,3
PIA,MCLAREN,4.0,0.8671376562116575,3
ZHO,ALFA ROMEO,5.0,0.7965125123726108,3
LEC,FERRARI,6.0,0.7740408756965503,3
BOT,ALFA ROMEO,7.0,0.7290976023444297,3
ALO,ASTON MARTIN,8.0,0.7280275244074845,3
PER,RED BULL RACING,9.0,0.7173267450379269,3
HUL,HAAS F1 TEAM,10.0,0.566445755927236,3
SAI,FERRARI,11.0,0.013215462521394609,2
OCO,ALPINE,12.0,-0.13445529277841536,2
RIC,ALPHATAURI,13.0,-0.3067378406282063,2
STR,ASTON MARTIN,14.0,-0.45868890767585757,2
GAS,ALPINE,15.0,-0.5368045970735811,2
ALB,WILLIAMS,16.0,-1.285859152942234,1
TSU,ALPHATAURI,17.0,-1.2879993088161394,1
RUS,MERCEDES,18.0,-1.403567726007307,1
MAG,HAAS F1 TEAM,19.0,-1.5951116767222926,1
SAR,WILLIAMS,20.0,-1.6400549500744133,1
