driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.2574881411112881,3
RUS,MERCEDES,2.0,1.0850834564640732,3
HAM,FERRARI,3.0,0.9849023559258268,3
LEC,FERRARI,4.0,0.9748065861041504,3
PIA,MCLAREN,5.0,0.880061669316045,3
NOR,MCLAREN,6.0,0.83501900395776,3
GAS,ALPINE,7.0,0.629220619131137,3
VER,RED BULL RACING,8.0,0.5290395185929017,3
HAD,RED BULL RACING,9.0,0.4366243948405695,3
BEA,HAAS F1 TEAM,10.0,0.3038261918014986,3
HUL,AUDI,11.0,0.2556771357288567,2
COL,ALPINE,12.0,0.25334734269308357,2
OCO,HAAS F1 TEAM,13.0,0.11278316286810945,2
LAW,RACING BULLS,14.0,-0.06350451017205697,2
LIN,RACING BULLS,15.0,-0.07825986606529074,2
BOR,AUDI,16.0,-0.21882404589026483,2
SAI,WILLIAMS,17.0,-0.49218642875429874,1
ALB,WILLIAMS,18.0,-0.8455383725132263,1
ALO,ASTON MARTIN,19.0,-1.1802519719859574,1
BOT,CADILLAC,20.0,-1.3611992310976702,1
STR,ASTON MARTIN,21.0,-1.7953173334300532,1
PER,CADILLAC,22.0,-2.502797818626481,1
