driver,team,qualifying_position,gap_to_pole_norm,quali_stage
LEC,FERRARI,1.0,1.3640159849481297,3
NOR,MCLAREN,2.0,1.1591022759942373,3
HAM,MERCEDES,3.0,1.1449159422974284,3
SAI,FERRARI,4.0,1.0140864204268643,3
RUS,MERCEDES,5.0,0.8028676742743827,3
VER,RED BULL RACING,6.0,0.7997151556750768,3
GAS,ALPINE,7.0,0.7871050812779208,3
OCO,ALPINE,8.0,0.6846482268009746,3
PER,RED BULL RACING,9.0,0.6546993001077037,3
PIA,MCLAREN,10.0,0.19127906601196643,3
TSU,ALPHATAURI,11.0,-0.17126057290647756,2
ZHO,ALFA ROMEO,12.0,-0.17283683220610804,2
BOT,ALFA ROMEO,13.0,-0.4250383201493861,2
MAG,HAAS F1 TEAM,14.0,-0.45971602474157086,2
RIC,ALPHATAURI,15.0,-0.6078843989082497,2
HUL,HAAS F1 TEAM,16.0,-1.0192880761156875,1
ALO,ASTON MARTIN,17.0,-1.071304633003987,1
ALB,WILLIAMS,18.0,-1.1453888200873152,1
STR,ASTON MARTIN,19.0,-1.5772838681901513,1
SAR,WILLIAMS,20.0,-1.9524335815057512,1
