driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.6230658661972814,3
PER,RED BULL RACING,2.0,1.524585197689789,3
NOR,MCLAREN,3.0,1.1873635146186932,3
SAI,FERRARI,4.0,0.8993821658013432,3
ALO,ASTON MARTIN,5.0,0.8934136404372458,3
PIA,MCLAREN,6.0,0.7829959212015796,3
HAM,MERCEDES,7.0,0.7740431331554439,3
LEC,FERRARI,8.0,0.7442005063349988,3
RUS,MERCEDES,9.0,0.4129473486280003,3
TSU,RB,10.0,-0.19136584448613594,3
RIC,RB,11.0,-0.27940159360646294,2
HUL,HAAS F1 TEAM,12.0,-0.31222848310896745,2
BOT,KICK SAUBER,13.0,-0.45994948587020595,2
ALB,WILLIAMS,14.0,-0.6404973781339277,2
OCO,ALPINE,15.0,-0.792694774918234,2
STR,ASTON MARTIN,16.0,-1.1030580938509231,1
GAS,ALPINE,17.0,-1.2448105712480642,1
MAG,HAAS F1 TEAM,18.0,-1.2627161473403354,1
SAR,WILLIAMS,19.0,-1.2746531980685092,1
ZHO,KICK SAUBER,20.0,-1.2806217234326067,1
