driver,team,qualifying_position,gap_to_pole_norm,quali_stage
LEC,FERRARI,1.0,1.6172530568115722,3
PIA,MCLAREN,2.0,1.2543969505443375,3
SAI,FERRARI,3.0,1.1198802008689506,3
PER,RED BULL RACING,4.0,1.1108370580336353,3
RUS,MERCEDES,5.0,1.0418830939143273,3
VER,RED BULL RACING,6.0,0.8734545586064886,3
HAM,MERCEDES,7.0,0.5727700593320876,3
ALO,ASTON MARTIN,8.0,0.482338630978888,3
COL,WILLIAMS,9.0,0.3003453814180685,3
ALB,WILLIAMS,10.0,-0.07155386768446531,3
BEA,HAAS F1 TEAM,11.0,-0.19476668881571235,2
TSU,RB,12.0,-0.2705030100615108,2
HUL,HAAS F1 TEAM,13.0,-0.4468442953502604,2
STR,ASTON MARTIN,14.0,-0.6876179733406523,2
RIC,RB,15.0,-0.8492641515220009,1
GAS,ALPINE,15.0,-0.4332795810972796,2
NOR,MCLAREN,16.0,-0.9193485084957292,1
BOT,KICK SAUBER,17.0,-0.9295220441854648,1
ZHO,KICK SAUBER,18.0,-1.6394087567580966,1
OCO,ALPINE,19.0,-1.9310501131971824,1
