driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.6767241387134146,3
PER,RED BULL RACING,2.0,1.221357738286878,3
ALO,ASTON MARTIN,3.0,0.9866036312346951,3
NOR,MCLAREN,4.0,0.9625625479823483,3
PIA,MCLAREN,5.0,0.8098309602616622,3
LEC,FERRARI,6.0,0.7872040583771065,3
SAI,FERRARI,7.0,0.7758906074348386,3
RUS,MERCEDES,8.0,0.5835619414161649,3
HUL,HAAS F1 TEAM,9.0,0.34173692752506696,3
BOT,KICK SAUBER,10.0,0.25547186409021694,3
STR,ASTON MARTIN,11.0,0.010818487463557052,2
RIC,RB,12.0,-0.1249429238437373,2
OCO,ALPINE,13.0,-0.5336413391333913,2
ALB,WILLIAMS,14.0,-0.559096603753509,2
GAS,ALPINE,15.0,-0.873044867401607,2
ZHO,KICK SAUBER,16.0,-0.9324404848485484,1
MAG,HAAS F1 TEAM,17.0,-0.9479964798941892,1
HAM,MERCEDES,18.0,-1.028604817857875,1
TSU,RB,19.0,-1.2732581944845551,1
SAR,WILLIAMS,20.0,-2.1387371915685365,1
