driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,1.9911280121273194,3
NOR,MCLAREN,2.0,1.4929432477810154,3
PIA,MCLAREN,3.0,1.4210658439698687,3
RUS,MERCEDES,4.0,0.9055313614622741,3
LEC,FERRARI,5.0,0.6948562123605915,3
ALO,ASTON MARTIN,6.0,0.2685488518254692,3
BOR,KICK SAUBER,7.0,0.2635917894936769,3
OCO,HAAS F1 TEAM,8.0,0.24128500900055883,3
HAD,RACING BULLS,9.0,-0.1528014463778608,3
TSU,RED BULL RACING,10.0,-0.05861726207359615,2
BEA,HAAS F1 TEAM,11.0,-0.07596698023488674,2
SAI,WILLIAMS,12.0,-0.0784455114008005,2
LAW,RACING BULLS,13.0,-0.1651941022073591,2
ANT,MERCEDES,14.0,-0.17262969570506514,2
STR,ASTON MARTIN,15.0,-0.21476472552538758,2
HAM,FERRARI,16.0,-0.9508884817982847,1
ALB,WILLIAMS,17.0,-1.0054161674481055,1
HUL,KICK SAUBER,18.0,-1.0896862270887855,1
GAS,ALPINE,19.0,-1.1342997880750216,1
COL,ALPINE,20.0,-2.180239940085623,1
