driver,team,qualifying_position,gap_to_pole_norm,quali_stage
SAI,FERRARI,1.0,1.8167062667882385,3
VER,RED BULL RACING,2.0,1.4444642942653643,3
NOR,MCLAREN,3.0,1.2972219140229908,3
LEC,FERRARI,4.0,1.2889498701891569,3
RUS,MERCEDES,5.0,1.1383986724132544,3
HAM,MERCEDES,6.0,0.6503480862166127,3
MAG,HAAS F1 TEAM,7.0,0.2615620260260707,3
GAS,ALPINE,8.0,0.2516355734254607,3
ALB,WILLIAMS,9.0,-0.03457714322545262,3
HUL,HAAS F1 TEAM,10.0,-0.5308997732559283,3
TSU,RB,11.0,-0.1404593042986336,2
LAW,RB,12.0,-0.19505479360198852,2
ALO,ASTON MARTIN,13.0,-0.2049812462025985,2
STR,ASTON MARTIN,14.0,-0.4134367508153846,2
BOT,KICK SAUBER,15.0,-1.2786925358351822,2
COL,WILLIAMS,16.0,-0.8502006652422238,1
PIA,MCLAREN,17.0,-0.9147226071461653,1
PER,RED BULL RACING,18.0,-0.9378843298809375,1
OCO,ALPINE,19.0,-0.9478107824815475,1
ZHO,KICK SAUBER,20.0,-1.7005667713611066,1
