driver,team,qualifying_position,gap_to_pole_norm,quali_stage
ANT,MERCEDES,1.0,1.1750369921014443,3
VER,RED BULL RACING,2.0,1.066199742046803,3
LEC,FERRARI,3.0,0.9488390928914935,3
NOR,MCLAREN,4.0,0.9226132495048283,3
RUS,MERCEDES,5.0,0.9134342043194997,3
HAM,FERRARI,6.0,0.8334453819901836,3
PIA,MCLAREN,7.0,0.7147734406655439,3
COL,ALPINE,8.0,0.5429941664829138,3
GAS,ALPINE,9.0,0.5115231544189193,3
HUL,AUDI,10.0,0.09912176716368022,2
LAW,RACING BULLS,11.0,0.05978300208368714,2
BEA,HAAS F1 TEAM,12.0,0.015199068326364761,2
SAI,WILLIAMS,13.0,0.014543422241695103,2
OCO,HAAS F1 TEAM,14.0,-0.11920837903028136,2
ALB,WILLIAMS,15.0,-0.23329079776225198,2
LIN,RACING BULLS,16.0,-0.3558966155948909,1
ALO,ASTON MARTIN,17.0,-0.9885950872980911,1
STR,ASTON MARTIN,18.0,-1.0318677288860836,1
BOT,CADILLAC,19.0,-1.3367431582560207,1
PER,CADILLAC,20.0,-1.5583515348733026,1
BOR,AUDI,21.0,-2.718845104733052,1
HAD,RED BULL RACING,22.0,0.5252917221969169,3
