driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PIA,MCLAREN,1.0,1.8439733238453775,3
NOR,MCLAREN,2.0,1.818172408359844,3
VER,RED BULL RACING,3.0,1.2785032594541466,3
HAD,RACING BULLS,4.0,0.670031669253673,3
RUS,MERCEDES,5.0,0.5689780836020111,3
LEC,FERRARI,6.0,0.3862215989128066,3
HAM,FERRARI,7.0,0.27871778438976136,3
LAW,RACING BULLS,8.0,0.04220939243904955,3
SAI,WILLIAMS,9.0,0.031459010986754195,3
ALO,ASTON MARTIN,10.0,-0.23730052532087426,3
ANT,MERCEDES,11.0,0.0572599264722875,2
TSU,RED BULL RACING,12.0,-0.22009991499719556,2
BOR,KICK SAUBER,13.0,-0.22009991499719556,2
GAS,ALPINE,14.0,-0.2523510593541122,2
ALB,WILLIAMS,15.0,-0.28460220371102884,2
COL,ALPINE,16.0,-1.2564366869994095,1
HUL,KICK SAUBER,17.0,-1.45209362943135,1
OCO,HAAS F1 TEAM,18.0,-1.4563937820122925,1
BEA,HAAS F1 TEAM,19.0,-1.5961487408922543,1
STR,ASTON MARTIN,20.0,0.0,1
