driver,team,qualifying_position,gap_to_pole_norm,quali_stage
PER,RED BULL RACING,1.0,0.4177557611213914,3
LEC,FERRARI,2.0,0.40177744083173905,3
ALO,ASTON MARTIN,3.0,0.36982080025243436,3
RUS,MERCEDES,4.0,0.3567288862086552,3
SAI,FERRARI,5.0,0.3491005268445634,3
STR,ASTON MARTIN,6.0,0.3476573237216275,3
OCO,ALPINE,7.0,0.33394689405373135,3
HAM,MERCEDES,8.0,0.3189994331376055,3
PIA,MCLAREN,9.0,0.31693771439055396,3
GAS,ALPINE,10.0,0.3051859175323577,3
HUL,HAAS F1 TEAM,11.0,0.2954958394212144,2
ZHO,ALFA ROMEO,12.0,0.2944649800476879,2
MAG,HAAS F1 TEAM,13.0,0.27663111288568876,2
BOT,ALFA ROMEO,14.0,0.2731261910156999,2
VER,RED BULL RACING,15.0,-1.817972048181691,2
TSU,ALPHATAURI,16.0,0.24518990199314802,1
ALB,WILLIAMS,17.0,0.2395201754387546,1
DEV,ALPHATAURI,18.0,0.21374869110060582,1
NOR,MCLAREN,19.0,0.1928222458180287,1
SAR,WILLIAMS,20.0,-3.0,1
