driver,team,qualifying_position,gap_to_pole_norm,quali_stage
VER,RED BULL RACING,1.0,0.719297708473084,3
LEC,FERRARI,2.0,0.17768283770579793,3
STR,ASTON MARTIN,3.0,-0.4173566291575749,3
ALO,ASTON MARTIN,4.0,-0.496572409575932,3
HAM,MERCEDES,5.0,-0.6476350606062533,3
RUS,MERCEDES,6.0,-0.8705445822485913,3
NOR,MCLAREN,7.0,-1.6019088805295782,3
SAI,FERRARI,8.0,-1.6055933354327747,3
PER,RED BULL RACING,9.0,-2.217212849360453,3
PIA,MCLAREN,10.0,1.4506620067540972,2
HUL,HAAS F1 TEAM,11.0,1.0508986497591937,2
OCO,ALPINE,12.0,1.023265237985351,2
GAS,ALPINE,13.0,1.0140541007274124,2
MAG,HAAS F1 TEAM,14.0,0.7266666182794508,2
ALB,WILLIAMS,15.0,0.5111260064434795,2
TSU,ALPHATAURI,16.0,0.516652688798248,1
RIC,ALPHATAURI,17.0,0.505599324088711,1
BOT,ALFA ROMEO,18.0,0.29926984951070473,1
SAR,WILLIAMS,19.0,0.15189165338355368,1
ZHO,ALFA ROMEO,20.0,-0.29024293499792575,1
