driver,team,qualifying_position,gap_to_pole_norm,quali_stage
SAI,FERRARI,1.0,1.3561205676629111,3
VER,RED BULL RACING,2.0,1.340889181961909,3
LEC,FERRARI,3.0,1.2776203490500773,3
RUS,MERCEDES,4.0,0.9144103823340165,3
PER,RED BULL RACING,5.0,0.8944924164173342,3
ALB,WILLIAMS,6.0,0.8101339725348917,3
PIA,MCLAREN,7.0,0.7808428461868325,3
HAM,MERCEDES,8.0,0.7398352692995397,3
NOR,MCLAREN,9.0,0.5535437057258125,3
ALO,ASTON MARTIN,10.0,0.04036317210763738,3
TSU,ALPHATAURI,11.0,-0.16701800243668374,2
LAW,ALPHATAURI,12.0,-0.3591677912800194,2
HUL,HAAS F1 TEAM,13.0,-0.38025740225063004,2
BOT,ALFA ROMEO,14.0,-0.5724071910939657,2
SAR,WILLIAMS,15.0,-0.5770937713096624,2
ZHO,ALFA ROMEO,16.0,-1.0996474653592145,1
GAS,ALPINE,17.0,-1.281252448717245,1
OCO,ALPINE,18.0,-1.2847673838790135,1
MAG,HAAS F1 TEAM,19.0,-1.3363197662516115,1
STR,ASTON MARTIN,20.0,-1.650320640702914,1
