driver,driver_number,team,position,q1,q2,q3
SAI,55,Ferrari,1.0,0 days 00:01:21.965000,0 days 00:01:20.991000,0 days 00:01:20.294000
VER,1,Red Bull Racing,2.0,0 days 00:01:21.573000,0 days 00:01:20.937000,0 days 00:01:20.307000
LEC,16,Ferrari,3.0,0 days 00:01:21.788000,0 days 00:01:20.977000,0 days 00:01:20.361000
RUS,63,Mercedes,4.0,0 days 00:01:22.148000,0 days 00:01:21.382000,0 days 00:01:20.671000
PER,11,Red Bull Racing,5.0,0 days 00:01:21.911000,0 days 00:01:21.240000,0 days 00:01:20.688000
ALB,23,Williams,6.0,0 days 00:01:21.661000,0 days 00:01:21.272000,0 days 00:01:20.760000
PIA,81,McLaren,7.0,0 days 00:01:22.106000,0 days 00:01:21.527000,0 days 00:01:20.785000
HAM,44,Mercedes,8.0,0 days 00:01:21.977000,0 days 00:01:21.369000,0 days 00:01:20.820000
NOR,4,McLaren,9.0,0 days 00:01:21.995000,0 days 00:01:21.581000,0 days 00:01:20.979000
ALO,14,Aston Martin,10.0,0 days 00:01:22.043000,0 days 00:01:21.543000,0 days 00:01:21.417000
TSU,22,AlphaTauri,11.0,0 days 00:01:21.852000,0 days 00:01:21.594000,
LAW,40,AlphaTauri,12.0,0 days 00:01:22.112000,0 days 00:01:21.758000,
HUL,27,Haas F1 Team,13.0,0 days 00:01:22.343000,0 days 00:01:21.776000,
BOT,77,Alfa Romeo,14.0,0 days 00:01:22.249000,0 days 00:01:21.940000,
SAR,2,Williams,15.0,0 days 00:01:21.930000,0 days 00:01:21.944000,
ZHO,24,Alfa Romeo,16.0,0 days 00:01:22.390000,,
GAS,10,Alpine,17.0,0 days 00:01:22.545000,,
OCO,31,Alpine,18.0,0 days 00:01:22.548000,,
MAG,20,Haas F1 Team,19.0,0 days 00:01:22.592000,,
STR,18,Aston Martin,20.0,0 days 00:01:22.860000,,
