driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:12.386000,0 days 00:01:11.908000,0 days 00:01:11.365000
ALO,14,Aston Martin,2.0,0 days 00:01:12.886000,0 days 00:01:12.107000,0 days 00:01:11.449000
LEC,16,Ferrari,3.0,0 days 00:01:12.912000,0 days 00:01:12.103000,0 days 00:01:11.471000
OCO,31,Alpine,4.0,0 days 00:01:12.967000,0 days 00:01:12.248000,0 days 00:01:11.553000
SAI,55,Ferrari,5.0,0 days 00:01:12.717000,0 days 00:01:12.210000,0 days 00:01:11.630000
HAM,44,Mercedes,6.0,0 days 00:01:12.872000,0 days 00:01:12.156000,0 days 00:01:11.725000
GAS,10,Alpine,7.0,0 days 00:01:13.033000,0 days 00:01:12.169000,0 days 00:01:11.933000
RUS,63,Mercedes,8.0,0 days 00:01:12.769000,0 days 00:01:12.151000,0 days 00:01:11.964000
TSU,22,AlphaTauri,9.0,0 days 00:01:12.642000,0 days 00:01:12.249000,0 days 00:01:12.082000
NOR,4,McLaren,10.0,0 days 00:01:12.877000,0 days 00:01:12.377000,0 days 00:01:12.254000
PIA,81,McLaren,11.0,0 days 00:01:13.006000,0 days 00:01:12.395000,
DEV,21,AlphaTauri,12.0,0 days 00:01:13.054000,0 days 00:01:12.428000,
ALB,23,Williams,13.0,0 days 00:01:12.706000,0 days 00:01:12.527000,
STR,18,Aston Martin,14.0,0 days 00:01:12.722000,0 days 00:01:12.623000,
BOT,77,Alfa Romeo,15.0,0 days 00:01:13.038000,0 days 00:01:12.625000,
SAR,2,Williams,16.0,0 days 00:01:13.113000,,
MAG,20,Haas F1 Team,17.0,0 days 00:01:13.270000,,
HUL,27,Haas F1 Team,18.0,0 days 00:01:13.279000,,
ZHO,24,Alfa Romeo,19.0,0 days 00:01:13.523000,,
PER,11,Red Bull Racing,20.0,0 days 00:01:13.850000,,
