driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
HAM,Mercedes,4.0,finished,0
ALO,Aston Martin,5.0,finished,0
RUS,Mercedes,6.0,finished,0
NOR,McLaren,7.0,finished,0
OCO,Alpine,8.0,finished,0
STR,Aston Martin,9.0,finished,0
TSU,AlphaTauri,10.0,finished,0
GAS,Alpine,11.0,finished,0
BOT,Alfa Romeo,12.0,finished,0
ZHO,Alfa Romeo,13.0,finished,0
ALB,Williams,14.0,finished,0
MAG,Haas F1 Team,15.0,finished,0
RIC,AlphaTauri,16.0,finished,0
SAR,Williams,17.0,finished,0
HUL,Haas F1 Team,18.0,finished,0
SAI,Ferrari,,retired,1
PIA,McLaren,,retired,1
