driver,driver_number,team,position,q1,q2,q3
HAM,44,Mercedes,1.0,0 days 00:01:18.577000,0 days 00:01:17.427000,0 days 00:01:16.609000
VER,1,Red Bull Racing,2.0,0 days 00:01:18.318000,0 days 00:01:17.547000,0 days 00:01:16.612000
NOR,4,McLaren,3.0,0 days 00:01:18.697000,0 days 00:01:17.328000,0 days 00:01:16.694000
PIA,81,McLaren,4.0,0 days 00:01:18.464000,0 days 00:01:17.571000,0 days 00:01:16.905000
ZHO,24,Alfa Romeo,5.0,0 days 00:01:18.143000,0 days 00:01:17.700000,0 days 00:01:16.971000
LEC,16,Ferrari,6.0,0 days 00:01:18.440000,0 days 00:01:17.580000,0 days 00:01:16.992000
BOT,77,Alfa Romeo,7.0,0 days 00:01:18.775000,0 days 00:01:17.563000,0 days 00:01:17.034000
ALO,14,Aston Martin,8.0,0 days 00:01:18.580000,0 days 00:01:17.701000,0 days 00:01:17.035000
PER,11,Red Bull Racing,9.0,0 days 00:01:18.360000,0 days 00:01:17.675000,0 days 00:01:17.045000
HUL,27,Haas F1 Team,10.0,0 days 00:01:18.695000,0 days 00:01:17.652000,0 days 00:01:17.186000
SAI,55,Ferrari,11.0,0 days 00:01:18.393000,0 days 00:01:17.703000,
OCO,31,Alpine,12.0,0 days 00:01:18.854000,0 days 00:01:17.841000,
RIC,3,AlphaTauri,13.0,0 days 00:01:18.906000,0 days 00:01:18.002000,
STR,18,Aston Martin,14.0,0 days 00:01:18.782000,0 days 00:01:18.144000,
GAS,10,Alpine,15.0,0 days 00:01:18.743000,0 days 00:01:18.217000,
ALB,23,Williams,16.0,0 days 00:01:18.917000,,
TSU,22,AlphaTauri,17.0,0 days 00:01:18.919000,,
RUS,63,Mercedes,18.0,0 days 00:01:19.027000,,
MAG,20,Haas F1 Team,19.0,0 days 00:01:19.206000,,
SAR,2,Williams,20.0,0 days 00:01:19.248000,,
