driver,driver_number,team,position,q1,q2,q3
RUS,63,Mercedes,1.0,0 days 00:01:12.075000,0 days 00:01:11.570000,0 days 00:01:10.899000
VER,1,Red Bull Racing,2.0,0 days 00:01:12.054000,0 days 00:01:11.638000,0 days 00:01:11.059000
PIA,81,McLaren,3.0,0 days 00:01:11.939000,0 days 00:01:11.715000,0 days 00:01:11.120000
ANT,12,Mercedes,4.0,0 days 00:01:12.279000,0 days 00:01:11.974000,0 days 00:01:11.391000
HAM,44,Ferrari,5.0,0 days 00:01:11.952000,0 days 00:01:11.885000,0 days 00:01:11.526000
ALO,14,Aston Martin,6.0,0 days 00:01:12.073000,0 days 00:01:11.805000,0 days 00:01:11.586000
NOR,4,McLaren,7.0,0 days 00:01:11.826000,0 days 00:01:11.599000,0 days 00:01:11.625000
LEC,16,Ferrari,8.0,0 days 00:01:12.038000,0 days 00:01:11.626000,0 days 00:01:11.682000
HAD,6,Racing Bulls,9.0,0 days 00:01:12.211000,0 days 00:01:12.003000,0 days 00:01:11.867000
ALB,23,Williams,10.0,0 days 00:01:12.090000,0 days 00:01:11.892000,0 days 00:01:11.907000
TSU,22,Red Bull Racing,11.0,0 days 00:01:12.334000,0 days 00:01:12.102000,
COL,43,Alpine,12.0,0 days 00:01:12.234000,0 days 00:01:12.142000,
HUL,27,Kick Sauber,13.0,0 days 00:01:12.323000,0 days 00:01:12.183000,
BEA,87,Haas F1 Team,14.0,0 days 00:01:12.306000,0 days 00:01:12.340000,
OCO,31,Haas F1 Team,15.0,0 days 00:01:12.378000,0 days 00:01:12.634000,
BOR,5,Kick Sauber,16.0,0 days 00:01:12.385000,,
SAI,55,Williams,17.0,0 days 00:01:12.398000,,
STR,18,Aston Martin,18.0,0 days 00:01:12.517000,,
LAW,30,Racing Bulls,19.0,0 days 00:01:12.525000,,
GAS,10,Alpine,20.0,0 days 00:01:12.667000,,
