driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:41.010000,0 days 00:01:40.715000,0 days 00:01:40.562000
PIA,81,McLaren,2.0,0 days 00:01:41.201000,0 days 00:01:40.626000,0 days 00:01:40.647000
LEC,16,Ferrari,3.0,0 days 00:01:41.635000,0 days 00:01:41.084000,0 days 00:01:40.900000
VER,1,Red Bull Racing,4.0,0 days 00:01:41.334000,0 days 00:01:40.951000,0 days 00:01:40.903000
ALB,23,Williams,5.0,0 days 00:01:41.772000,0 days 00:01:41.505000,0 days 00:01:41.201000
RUS,63,Mercedes,6.0,0 days 00:01:41.784000,0 days 00:01:41.254000,0 days 00:01:41.260000
TSU,22,Red Bull Racing,7.0,0 days 00:01:41.840000,0 days 00:01:41.245000,0 days 00:01:41.284000
HAD,6,Racing Bulls,8.0,0 days 00:01:41.572000,0 days 00:01:41.281000,0 days 00:01:41.310000
LAW,30,Racing Bulls,9.0,0 days 00:01:41.748000,0 days 00:01:41.297000,0 days 00:01:41.328000
BOR,5,Kick Sauber,10.0,0 days 00:01:41.908000,0 days 00:01:41.336000,0 days 00:01:42.387000
OCO,31,Haas F1 Team,11.0,0 days 00:01:41.884000,0 days 00:01:41.525000,
BEA,87,Haas F1 Team,12.0,0 days 00:01:41.617000,0 days 00:01:41.617000,
GAS,10,Alpine,13.0,0 days 00:01:41.800000,0 days 00:01:41.633000,
HUL,27,Kick Sauber,14.0,0 days 00:01:41.844000,0 days 00:01:41.707000,
SAI,55,Williams,15.0,0 days 00:01:41.691000,0 days 00:01:41.758000,
HAM,44,Ferrari,16.0,0 days 00:01:41.939000,,
COL,43,Alpine,17.0,0 days 00:01:42.022000,,
ANT,12,Mercedes,18.0,0 days 00:01:42.139000,,
ALO,14,Aston Martin,19.0,0 days 00:01:42.385000,,
STR,18,Aston Martin,20.0,0 days 00:01:42.502000,,
