driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
RUS,Mercedes,2.0,finished,0
ANT,Mercedes,3.0,finished,0
LEC,Ferrari,4.0,finished,0
SAI,Williams,5.0,finished,0
HAD,Racing Bulls,6.0,finished,0
HUL,Kick Sauber,7.0,finished,0
HAM,Ferrari,8.0,finished,0
OCO,Haas F1 Team,9.0,finished,0
BEA,Haas F1 Team,10.0,finished,0
ALO,Aston Martin,11.0,finished,0
TSU,Red Bull Racing,12.0,finished,0
GAS,Alpine,13.0,finished,0
LAW,Racing Bulls,14.0,lapped,0
COL,Alpine,15.0,lapped,0
ALB,Williams,,retired,1
BOR,Kick Sauber,,retired,1
STR,Aston Martin,,retired,1
NOR,McLaren,,disqualified,1
PIA,McLaren,,disqualified,1
