driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
LEC,Ferrari,2.0,finished,0
PIA,McLaren,3.0,finished,0
RUS,Mercedes,4.0,finished,0
GAS,Alpine,5.0,finished,0
SAI,Ferrari,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
ZHO,Kick Sauber,8.0,finished,0
MAG,Haas F1 Team,9.0,finished,0
NOR,McLaren,10.0,finished,0
BOT,Kick Sauber,11.0,finished,0
HAM,Mercedes,12.0,finished,0
TSU,RB,13.0,finished,0
LAW,RB,14.0,finished,0
ALB,Williams,15.0,lapped,0
HUL,Haas F1 Team,,retired,1
PER,Red Bull Racing,,retired,1
STR,Aston Martin,,retired,1
COL,Williams,,retired,1
OCO,Alpine,,retired,1
