driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:21.579000,0 days 00:01:20.687000,0 days 00:01:20.520000
RUS,63,Mercedes,2.0,0 days 00:01:21.241000,0 days 00:01:21.069000,0 days 00:01:20.575000
NOR,4,McLaren,3.0,0 days 00:01:21.578000,0 days 00:01:20.983000,0 days 00:01:20.772000
PIA,81,McLaren,4.0,0 days 00:01:21.821000,0 days 00:01:21.121000,0 days 00:01:20.829000
LEC,16,Ferrari,5.0,0 days 00:01:21.278000,0 days 00:01:21,0 days 00:01:20.852000
HAM,44,Mercedes,6.0,0 days 00:01:21.637000,0 days 00:01:21.095000,0 days 00:01:21.011000
SAI,55,Ferrari,7.0,0 days 00:01:21.447000,0 days 00:01:21.199000,0 days 00:01:21.041000
ALO,14,Aston Martin,8.0,0 days 00:01:21.608000,0 days 00:01:21.208000,0 days 00:01:21.251000
PER,11,Red Bull Racing,9.0,0 days 00:01:21.675000,0 days 00:01:21.425000,0 days 00:01:21.425000
MAG,20,Haas F1 Team,10.0,0 days 00:01:21.891000,0 days 00:01:21.387000,0 days 00:01:21.500000
GAS,10,Alpine,11.0,0 days 00:01:21.843000,0 days 00:01:21.437000,
ZHO,24,Kick Sauber,12.0,0 days 00:01:22.103000,0 days 00:01:21.501000,
BOT,77,Kick Sauber,13.0,0 days 00:01:21.927000,0 days 00:01:21.731000,
TSU,22,RB,14.0,0 days 00:01:22.364000,0 days 00:01:21.771000,
STR,18,Aston Martin,15.0,0 days 00:01:22.011000,0 days 00:01:21.911000,
ALB,23,Williams,16.0,0 days 00:01:22.390000,,
LAW,30,RB,17.0,0 days 00:01:22.411000,,
HUL,27,Haas F1 Team,18.0,0 days 00:01:22.442000,,
COL,43,Williams,19.0,0 days 00:01:22.594000,,
OCO,31,Alpine,20.0,0 days 00:01:22.714000,,
