driver,team,position,status,dnf_flag
PER,Red Bull Racing,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
ALO,Aston Martin,4.0,finished,0
SAI,Ferrari,5.0,finished,0
HAM,Mercedes,6.0,finished,0
STR,Aston Martin,7.0,finished,0
RUS,Mercedes,8.0,finished,0
NOR,McLaren,9.0,finished,0
TSU,AlphaTauri,10.0,finished,0
PIA,McLaren,11.0,finished,0
ALB,Williams,12.0,finished,0
MAG,Haas F1 Team,13.0,finished,0
GAS,Alpine,14.0,finished,0
OCO,Alpine,15.0,finished,0
SAR,Williams,16.0,finished,0
HUL,Haas F1 Team,17.0,lapped,0
BOT,Alfa Romeo,18.0,lapped,0
ZHO,Alfa Romeo,,retired,1
DEV,AlphaTauri,,retired,1
