driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
PIA,McLaren,2.0,finished,0
SAI,Williams,3.0,finished,0
NOR,McLaren,4.0,finished,0
ANT,Mercedes,5.0,finished,0
RUS,Mercedes,6.0,finished,0
ALO,Aston Martin,7.0,finished,0
LEC,Ferrari,8.0,finished,0
LAW,Racing Bulls,9.0,finished,0
TSU,Red Bull Racing,10.0,finished,0
ALB,Williams,11.0,finished,0
HAM,Ferrari,12.0,finished,0
BOR,Kick Sauber,13.0,finished,0
COL,Alpine,14.0,lapped,0
OCO,Haas F1 Team,15.0,lapped,0
GAS,Alpine,16.0,lapped,0
STR,Aston Martin,,retired,1
HAD,Racing Bulls,,retired,1
BEA,Haas F1 Team,,retired,1
HUL,Kick Sauber,,retired,1
