driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
LEC,Ferrari,3.0,finished,0
PIA,McLaren,4.0,finished,0
SAI,Ferrari,5.0,finished,0
PER,Red Bull Racing,6.0,finished,0
RUS,Mercedes,7.0,finished,0
HAM,Mercedes,8.0,finished,0
GAS,Alpine,9.0,lapped,0
ALO,Aston Martin,10.0,lapped,0
HUL,Haas F1 Team,11.0,lapped,0
RIC,RB,12.0,lapped,0
STR,Aston Martin,13.0,lapped,0
ALB,Williams,14.0,lapped,0
OCO,Alpine,15.0,lapped,0
SAR,Williams,16.0,lapped,0
TSU,RB,17.0,lapped,0
MAG,Haas F1 Team,18.0,lapped,0
BOT,Kick Sauber,19.0,lapped,0
ZHO,Kick Sauber,20.0,lapped,0
