driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:12.386000,0 days 00:01:11.872000,0 days 00:01:11.383000
VER,1,Red Bull Racing,2.0,0 days 00:01:12.306000,0 days 00:01:11.653000,0 days 00:01:11.403000
HAM,44,Mercedes,3.0,0 days 00:01:12.143000,0 days 00:01:11.792000,0 days 00:01:11.701000
RUS,63,Mercedes,4.0,0 days 00:01:12.456000,0 days 00:01:11.812000,0 days 00:01:11.703000
LEC,16,Ferrari,5.0,0 days 00:01:12.257000,0 days 00:01:12.038000,0 days 00:01:11.731000
SAI,55,Ferrari,6.0,0 days 00:01:12.403000,0 days 00:01:11.874000,0 days 00:01:11.736000
GAS,10,Alpine,7.0,0 days 00:01:12.651000,0 days 00:01:12.079000,0 days 00:01:11.857000
PER,11,Red Bull Racing,8.0,0 days 00:01:12.477000,0 days 00:01:12.054000,0 days 00:01:12.061000
OCO,31,Alpine,9.0,0 days 00:01:12.691000,0 days 00:01:12.109000,0 days 00:01:12.125000
PIA,81,McLaren,10.0,0 days 00:01:12.460000,0 days 00:01:12.011000,
ALO,14,Aston Martin,11.0,0 days 00:01:12.505000,0 days 00:01:12.128000,
BOT,77,Kick Sauber,12.0,0 days 00:01:12.758000,0 days 00:01:12.227000,
HUL,27,Haas F1 Team,13.0,0 days 00:01:12.708000,0 days 00:01:12.310000,
STR,18,Aston Martin,14.0,0 days 00:01:12.881000,0 days 00:01:12.372000,
ZHO,24,Kick Sauber,15.0,0 days 00:01:12.880000,0 days 00:01:12.738000,
MAG,20,Haas F1 Team,16.0,0 days 00:01:12.937000,,
TSU,22,RB,17.0,0 days 00:01:12.985000,,
RIC,3,RB,18.0,0 days 00:01:13.075000,,
ALB,23,Williams,19.0,0 days 00:01:13.153000,,
SAR,2,Williams,20.0,0 days 00:01:13.509000,,
