driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:30.031000,0 days 00:01:29.374000,0 days 00:01:29.179000
LEC,16,Ferrari,2.0,0 days 00:01:30.243000,0 days 00:01:29.165000,0 days 00:01:29.407000
RUS,63,Mercedes,3.0,0 days 00:01:30.350000,0 days 00:01:29.922000,0 days 00:01:29.485000
SAI,55,Ferrari,4.0,0 days 00:01:29.909000,0 days 00:01:29.573000,0 days 00:01:29.507000
PER,11,Red Bull Racing,5.0,0 days 00:01:30.221000,0 days 00:01:29.932000,0 days 00:01:29.537000
ALO,14,Aston Martin,6.0,0 days 00:01:30.179000,0 days 00:01:29.801000,0 days 00:01:29.542000
NOR,4,McLaren,7.0,0 days 00:01:30.143000,0 days 00:01:29.941000,0 days 00:01:29.614000
PIA,81,McLaren,8.0,0 days 00:01:30.531000,0 days 00:01:30.122000,0 days 00:01:29.683000
HAM,44,Mercedes,9.0,0 days 00:01:30.451000,0 days 00:01:29.718000,0 days 00:01:29.710000
HUL,27,Haas F1 Team,10.0,0 days 00:01:30.566000,0 days 00:01:29.851000,0 days 00:01:30.502000
TSU,22,RB,11.0,0 days 00:01:30.481000,0 days 00:01:30.129000,
STR,18,Aston Martin,12.0,0 days 00:01:29.965000,0 days 00:01:30.200000,
ALB,23,Williams,13.0,0 days 00:01:30.397000,0 days 00:01:30.221000,
RIC,3,RB,14.0,0 days 00:01:30.562000,0 days 00:01:30.278000,
MAG,20,Haas F1 Team,15.0,0 days 00:01:30.646000,0 days 00:01:30.529000,
BOT,77,Kick Sauber,16.0,0 days 00:01:30.756000,,
ZHO,24,Kick Sauber,17.0,0 days 00:01:30.757000,,
SAR,2,Williams,18.0,0 days 00:01:30.770000,,
OCO,31,Alpine,19.0,0 days 00:01:30.793000,,
GAS,10,Alpine,20.0,0 days 00:01:30.948000,,
