driver,driver_number,team,position,q1,q2,q3
PIA,81,McLaren,1.0,0 days 00:01:12.551000,0 days 00:01:11.998000,0 days 00:01:11.546000
NOR,4,McLaren,2.0,0 days 00:01:12.799000,0 days 00:01:12.056000,0 days 00:01:11.755000
VER,1,Red Bull Racing,3.0,0 days 00:01:12.798000,0 days 00:01:12.358000,0 days 00:01:11.848000
RUS,63,Mercedes,4.0,0 days 00:01:12.806000,0 days 00:01:12.407000,0 days 00:01:11.848000
HAM,44,Ferrari,5.0,0 days 00:01:13.058000,0 days 00:01:12.447000,0 days 00:01:12.045000
ANT,12,Mercedes,6.0,0 days 00:01:12.815000,0 days 00:01:12.585000,0 days 00:01:12.111000
LEC,16,Ferrari,7.0,0 days 00:01:13.014000,0 days 00:01:12.495000,0 days 00:01:12.131000
GAS,10,Alpine,8.0,0 days 00:01:13.081000,0 days 00:01:12.611000,0 days 00:01:12.199000
HAD,6,Racing Bulls,9.0,0 days 00:01:13.139000,0 days 00:01:12.461000,0 days 00:01:12.252000
ALO,14,Aston Martin,10.0,0 days 00:01:13.102000,0 days 00:01:12.523000,0 days 00:01:12.284000
ALB,23,Williams,11.0,0 days 00:01:13.044000,0 days 00:01:12.641000,
BOR,5,Kick Sauber,12.0,0 days 00:01:13.045000,0 days 00:01:12.756000,
LAW,30,Racing Bulls,13.0,0 days 00:01:13.039000,0 days 00:01:12.763000,
STR,18,Aston Martin,14.0,0 days 00:01:13.038000,0 days 00:01:13.058000,
BEA,87,Haas F1 Team,15.0,0 days 00:01:13.074000,0 days 00:01:13.315000,
HUL,27,Kick Sauber,16.0,0 days 00:01:13.190000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:13.201000,,
SAI,55,Williams,18.0,0 days 00:01:13.203000,,
COL,43,Alpine,19.0,0 days 00:01:13.334000,,
TSU,22,Red Bull Racing,20.0,0 days 00:01:13.385000,,
