driver,driver_number,team,position,q1,q2,q3
SAI,55,Ferrari,1.0,0 days 00:01:32.339000,0 days 00:01:31.439000,0 days 00:01:30.984000
RUS,63,Mercedes,2.0,0 days 00:01:32.331000,0 days 00:01:31.743000,0 days 00:01:31.056000
LEC,16,Ferrari,3.0,0 days 00:01:32.406000,0 days 00:01:32.012000,0 days 00:01:31.063000
NOR,4,McLaren,4.0,0 days 00:01:32.483000,0 days 00:01:31.951000,0 days 00:01:31.270000
HAM,44,Mercedes,5.0,0 days 00:01:32.651000,0 days 00:01:32.019000,0 days 00:01:31.485000
MAG,20,Haas F1 Team,6.0,0 days 00:01:32.242000,0 days 00:01:31.892000,0 days 00:01:31.575000
ALO,14,Aston Martin,7.0,0 days 00:01:32.584000,0 days 00:01:31.835000,0 days 00:01:31.615000
OCO,31,Alpine,8.0,0 days 00:01:32.369000,0 days 00:01:32.089000,0 days 00:01:31.673000
HUL,27,Haas F1 Team,9.0,0 days 00:01:32.100000,0 days 00:01:31.994000,0 days 00:01:31.808000
LAW,40,AlphaTauri,10.0,0 days 00:01:32.215000,0 days 00:01:32.166000,0 days 00:01:32.268000
VER,1,Red Bull Racing,11.0,0 days 00:01:32.398000,0 days 00:01:32.173000,
GAS,10,Alpine,12.0,0 days 00:01:32.452000,0 days 00:01:32.274000,
PER,11,Red Bull Racing,13.0,0 days 00:01:32.099000,0 days 00:01:32.310000,
ALB,23,Williams,14.0,0 days 00:01:32.668000,0 days 00:01:33.719000,
TSU,22,AlphaTauri,15.0,0 days 00:01:31.991000,,
BOT,77,Alfa Romeo,16.0,0 days 00:01:32.809000,,
PIA,81,McLaren,17.0,0 days 00:01:32.902000,,
SAR,2,Williams,18.0,0 days 00:01:33.252000,,
ZHO,24,Alfa Romeo,19.0,0 days 00:01:33.258000,,
STR,18,Aston Martin,20.0,0 days 00:01:33.397000,,
