driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:26.870000,0 days 00:01:26.643000,0 days 00:01:26.204000
NOR,4,McLaren,2.0,0 days 00:01:26.955000,0 days 00:01:26.499000,0 days 00:01:26.269000
ANT,12,Mercedes,3.0,0 days 00:01:27.077000,0 days 00:01:26.606000,0 days 00:01:26.271000
PIA,81,McLaren,4.0,0 days 00:01:27.006000,0 days 00:01:26.269000,0 days 00:01:26.375000
RUS,63,Mercedes,5.0,0 days 00:01:27.014000,0 days 00:01:26.575000,0 days 00:01:26.385000
SAI,55,Williams,6.0,0 days 00:01:27.098000,0 days 00:01:26.847000,0 days 00:01:26.569000
ALB,23,Williams,7.0,0 days 00:01:27.042000,0 days 00:01:26.855000,0 days 00:01:26.682000
LEC,16,Ferrari,8.0,0 days 00:01:27.417000,0 days 00:01:26.948000,0 days 00:01:26.754000
OCO,31,Haas F1 Team,9.0,0 days 00:01:27.450000,0 days 00:01:26.967000,0 days 00:01:26.824000
TSU,22,Red Bull Racing,10.0,0 days 00:01:27.298000,0 days 00:01:26.959000,0 days 00:01:26.943000
HAD,6,Racing Bulls,11.0,0 days 00:01:27.301000,0 days 00:01:26.987000,
HAM,44,Ferrari,12.0,0 days 00:01:27.279000,0 days 00:01:27.006000,
BOR,5,Kick Sauber,13.0,0 days 00:01:27.343000,0 days 00:01:27.151000,
DOO,7,Alpine,14.0,0 days 00:01:27.422000,0 days 00:01:27.186000,
LAW,30,Racing Bulls,15.0,0 days 00:01:27.444000,0 days 00:01:27.363000,
HUL,27,Kick Sauber,16.0,0 days 00:01:27.473000,,
ALO,14,Aston Martin,17.0,0 days 00:01:27.604000,,
GAS,10,Alpine,18.0,0 days 00:01:27.710000,,
STR,18,Aston Martin,19.0,0 days 00:01:27.830000,,
BEA,87,Haas F1 Team,20.0,0 days 00:01:27.999000,,
