driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:30.944000,0 days 00:01:24.844000,0 days 00:01:23.405000
RUS,63,Mercedes,2.0,0 days 00:01:29.121000,0 days 00:01:26.307000,0 days 00:01:23.578000
TSU,22,RB,3.0,0 days 00:01:29.172000,0 days 00:01:26.464000,0 days 00:01:24.111000
OCO,31,Alpine,4.0,0 days 00:01:29.171000,0 days 00:01:26.206000,0 days 00:01:24.475000
LAW,30,RB,5.0,0 days 00:01:30.758000,0 days 00:01:25.654000,0 days 00:01:24.484000
LEC,16,Ferrari,6.0,0 days 00:01:29.839000,0 days 00:01:26.097000,0 days 00:01:24.525000
ALB,23,Williams,7.0,0 days 00:01:29.072000,0 days 00:01:24.657000,0 days 00:01:24.657000
PIA,81,McLaren,8.0,0 days 00:01:30.114000,0 days 00:01:24.686000,0 days 00:01:24.686000
ALO,14,Aston Martin,9.0,0 days 00:01:30.207000,0 days 00:01:28.998000,0 days 00:01:28.998000
STR,18,Aston Martin,10.0,0 days 00:01:30.580000,0 days 00:01:26.334000,
BOT,77,Kick Sauber,11.0,0 days 00:01:30.633000,0 days 00:01:26.472000,
VER,1,Red Bull Racing,12.0,0 days 00:01:28.522000,0 days 00:01:27.771000,
PER,11,Red Bull Racing,13.0,0 days 00:01:30.035000,0 days 00:01:28.158000,
SAI,55,Ferrari,14.0,0 days 00:01:30.303000,0 days 00:01:29.406000,
GAS,10,Alpine,15.0,0 days 00:01:29.420000,0 days 00:01:29.614000,
HAM,44,Mercedes,16.0,0 days 00:01:31.150000,,
BEA,50,Haas F1 Team,17.0,0 days 00:01:31.229000,,
COL,43,Williams,18.0,0 days 00:01:31.270000,,
HUL,27,Haas F1 Team,19.0,0 days 00:01:31.623000,,
ZHO,24,Kick Sauber,20.0,0 days 00:01:32.263000,,
