driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
LEC,Ferrari,2.0,finished,0
VER,Red Bull Racing,3.0,finished,0
BEA,Haas F1 Team,4.0,finished,0
PIA,McLaren,5.0,finished,0
ANT,Mercedes,6.0,finished,0
RUS,Mercedes,7.0,finished,0
HAM,Ferrari,8.0,finished,0
OCO,Haas F1 Team,9.0,finished,0
BOR,Kick Sauber,10.0,finished,0
TSU,Red Bull Racing,11.0,finished,0
ALB,Williams,12.0,lapped,0
HAD,Racing Bulls,13.0,lapped,0
STR,Aston Martin,14.0,lapped,0
GAS,Alpine,15.0,lapped,0
COL,Alpine,16.0,lapped,0
SAI,Williams,,retired,1
ALO,Aston Martin,,retired,1
HUL,Kick Sauber,,retired,1
LAW,Racing Bulls,,retired,1
