driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
HAM,Mercedes,2.0,finished,0
LEC,Ferrari,3.0,finished,0
SAI,Ferrari,4.0,finished,0
NOR,McLaren,5.0,finished,0
RUS,Mercedes,6.0,finished,0
RIC,AlphaTauri,7.0,finished,0
PIA,McLaren,8.0,finished,0
ALB,Williams,9.0,finished,0
OCO,Alpine,10.0,finished,0
GAS,Alpine,11.0,finished,0
TSU,AlphaTauri,12.0,finished,0
HUL,Haas F1 Team,13.0,finished,0
ZHO,Alfa Romeo,14.0,finished,0
BOT,Alfa Romeo,15.0,finished,0
SAR,Williams,,retired,1
STR,Aston Martin,17.0,collision damage,0
ALO,Aston Martin,18.0,withdrew,0
MAG,Haas F1 Team,19.0,accident,0
PER,Red Bull Racing,20.0,collision damage,0
