driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:33.207000,0 days 00:01:32.701000,0 days 00:01:32.510000
NOR,4,McLaren,2.0,0 days 00:01:33.843000,0 days 00:01:32.876000,0 days 00:01:32.801000
LEC,16,Ferrari,3.0,0 days 00:01:33.525000,0 days 00:01:32.869000,0 days 00:01:32.807000
RUS,63,Mercedes,4.0,0 days 00:01:33.311000,0 days 00:01:33.058000,0 days 00:01:32.826000
HAM,44,Ferrari,5.0,0 days 00:01:33.685000,0 days 00:01:32.914000,0 days 00:01:32.912000
PIA,81,McLaren,6.0,0 days 00:01:33.746000,0 days 00:01:33.228000,0 days 00:01:33.084000
ANT,12,Mercedes,7.0,0 days 00:01:33.501000,0 days 00:01:33.044000,0 days 00:01:33.114000
BEA,87,Haas F1 Team,8.0,0 days 00:01:33.921000,0 days 00:01:33.238000,0 days 00:01:33.139000
SAI,55,Williams,9.0,0 days 00:01:33.739000,0 days 00:01:33.124000,0 days 00:01:33.150000
ALO,14,Aston Martin,10.0,0 days 00:01:33.741000,0 days 00:01:33.237000,0 days 00:01:33.160000
HUL,27,Kick Sauber,11.0,0 days 00:01:33.551000,0 days 00:01:33.334000,
LAW,30,Racing Bulls,12.0,0 days 00:01:33.549000,0 days 00:01:33.360000,
TSU,22,Red Bull Racing,13.0,0 days 00:01:33.935000,0 days 00:01:33.466000,
GAS,10,Alpine,14.0,0 days 00:01:33.599000,0 days 00:01:33.651000,
COL,43,Alpine,15.0,0 days 00:01:34.039000,0 days 00:01:34.044000,
BOR,5,Kick Sauber,16.0,0 days 00:01:34.125000,,
OCO,31,Haas F1 Team,17.0,0 days 00:01:34.136000,,
STR,18,Aston Martin,18.0,0 days 00:01:34.540000,,
ALB,23,Williams,19.0,0 days 00:01:34.690000,,
HAD,6,Racing Bulls,20.0,,,
