driver,driver_number,team,position,q1,q2,q3
NOR,4,McLaren,1.0,0 days 00:01:16.899000,0 days 00:01:16.252000,0 days 00:01:15.586000
LEC,16,Ferrari,2.0,0 days 00:01:17.024000,0 days 00:01:16.658000,0 days 00:01:15.848000
HAM,44,Ferrari,3.0,0 days 00:01:16.736000,0 days 00:01:16.458000,0 days 00:01:15.938000
RUS,63,Mercedes,4.0,0 days 00:01:16.895000,0 days 00:01:16.537000,0 days 00:01:16.034000
VER,1,Red Bull Racing,5.0,0 days 00:01:17.076000,0 days 00:01:16.605000,0 days 00:01:16.070000
ANT,12,Mercedes,6.0,0 days 00:01:17.291000,0 days 00:01:16.773000,0 days 00:01:16.118000
SAI,55,Williams,7.0,0 days 00:01:17.171000,0 days 00:01:16.607000,0 days 00:01:16.172000
PIA,81,McLaren,8.0,0 days 00:01:17.158000,0 days 00:01:16.737000,0 days 00:01:16.174000
HAD,6,Racing Bulls,9.0,0 days 00:01:16.733000,0 days 00:01:16.804000,0 days 00:01:16.252000
BEA,87,Haas F1 Team,10.0,0 days 00:01:17.040000,0 days 00:01:16.787000,0 days 00:01:16.460000
TSU,22,Red Bull Racing,11.0,0 days 00:01:17.234000,0 days 00:01:16.816000,
OCO,31,Haas F1 Team,12.0,0 days 00:01:16.948000,0 days 00:01:16.837000,
HUL,27,Kick Sauber,13.0,0 days 00:01:17.251000,0 days 00:01:17.016000,
ALO,14,Aston Martin,14.0,0 days 00:01:17.232000,0 days 00:01:17.103000,
LAW,30,Racing Bulls,15.0,0 days 00:01:16.961000,0 days 00:01:18.072000,
BOR,5,Kick Sauber,16.0,0 days 00:01:17.412000,,
ALB,23,Williams,17.0,0 days 00:01:17.490000,,
GAS,10,Alpine,18.0,0 days 00:01:17.546000,,
STR,18,Aston Martin,19.0,0 days 00:01:17.606000,,
COL,43,Alpine,20.0,0 days 00:01:17.670000,,
