driver,driver_number,team,position,q1,q2,q3
NOR,1,McLaren,1.0,0 days 00:01:18.277000,0 days 00:01:17.456000,0 days 00:01:17.207000
HAM,44,Ferrari,2.0,0 days 00:01:18.730000,0 days 00:01:17.803000,0 days 00:01:17.219000
LEC,16,Ferrari,3.0,0 days 00:01:18.984000,0 days 00:01:17.626000,0 days 00:01:17.445000
ANT,12,Mercedes,4.0,0 days 00:01:18.726000,0 days 00:01:18.393000,0 days 00:01:17.479000
PIA,81,McLaren,5.0,0 days 00:01:18.891000,0 days 00:01:17.928000,0 days 00:01:17.684000
VER,3,Red Bull Racing,6.0,0 days 00:01:18.656000,0 days 00:01:18.249000,0 days 00:01:17.725000
RUS,63,Mercedes,7.0,0 days 00:01:18.856000,0 days 00:01:18.445000,0 days 00:01:17.760000
HAD,6,Red Bull Racing,8.0,0 days 00:01:18.754000,0 days 00:01:17.872000,0 days 00:01:17.856000
LIN,41,Racing Bulls,9.0,0 days 00:01:19.233000,0 days 00:01:18.360000,0 days 00:01:18.281000
HUL,27,Audi,10.0,0 days 00:01:18.796000,0 days 00:01:18.639000,0 days 00:01:18.686000
LAW,30,Racing Bulls,11.0,0 days 00:01:19.161000,0 days 00:01:18.765000,
GAS,10,Alpine,12.0,0 days 00:01:19.741000,0 days 00:01:18.844000,
COL,43,Alpine,13.0,0 days 00:01:19.771000,0 days 00:01:19.027000,
BOR,5,Audi,14.0,0 days 00:01:19.069000,0 days 00:01:19.105000,
OCO,31,Haas F1 Team,15.0,0 days 00:01:20.010000,0 days 00:01:19.734000,
ALO,14,Aston Martin,16.0,0 days 00:01:20.126000,0 days 00:01:19.808000,
BEA,87,Haas F1 Team,17.0,0 days 00:01:20.233000,,
SAI,55,Williams,18.0,0 days 00:01:20.621000,,
ALB,23,Williams,19.0,0 days 00:01:20.658000,,
STR,18,Aston Martin,20.0,0 days 00:01:20.659000,,
BOT,77,Cadillac,21.0,0 days 00:01:20.886000,,
PER,11,Cadillac,22.0,0 days 00:01:21.322000,,
