driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
LEC,Ferrari,2.0,finished,0
PER,Red Bull Racing,3.0,finished,0
OCO,Alpine,4.0,finished,0
STR,Aston Martin,5.0,finished,0
SAI,Ferrari,6.0,finished,0
HAM,Mercedes,7.0,finished,0
RUS,Mercedes,8.0,finished,0
ALO,Aston Martin,9.0,finished,0
PIA,McLaren,10.0,finished,0
GAS,Alpine,11.0,finished,0
ALB,Williams,12.0,finished,0
MAG,Haas F1 Team,13.0,finished,0
RIC,AlphaTauri,14.0,finished,0
ZHO,Alfa Romeo,15.0,finished,0
SAR,Williams,16.0,finished,0
BOT,Alfa Romeo,17.0,finished,0
TSU,AlphaTauri,,retired,1
HUL,Haas F1 Team,,retired,1
NOR,McLaren,,retired,1
