driver,team,position,status,dnf_flag
HAM,Mercedes,1.0,finished,0
VER,Red Bull Racing,2.0,finished,0
NOR,McLaren,3.0,finished,0
PIA,McLaren,4.0,finished,0
SAI,Ferrari,5.0,finished,0
HUL,Haas F1 Team,6.0,finished,0
STR,Aston Martin,7.0,finished,0
ALO,Aston Martin,8.0,finished,0
ALB,Williams,9.0,finished,0
TSU,RB,10.0,finished,0
SAR,Williams,11.0,finished,0
MAG,Haas F1 Team,12.0,finished,0
RIC,RB,13.0,lapped,0
LEC,Ferrari,14.0,lapped,0
BOT,Kick Sauber,15.0,lapped,0
OCO,Alpine,16.0,lapped,0
PER,Red Bull Racing,17.0,lapped,0
ZHO,Kick Sauber,18.0,lapped,0
RUS,Mercedes,,retired,1
GAS,Alpine,,did not start,1
