driver,driver_number,team,position,q1,q2,q3
PIA,81,McLaren,1.0,0 days 00:01:15.500000,0 days 00:01:15.214000,0 days 00:01:14.670000
VER,1,Red Bull Racing,2.0,0 days 00:01:15.175000,0 days 00:01:15.394000,0 days 00:01:14.704000
RUS,63,Mercedes,3.0,0 days 00:01:15.852000,0 days 00:01:15.334000,0 days 00:01:14.807000
NOR,4,McLaren,4.0,0 days 00:01:15.894000,0 days 00:01:15.261000,0 days 00:01:14.962000
ALO,14,Aston Martin,5.0,0 days 00:01:15.695000,0 days 00:01:15.442000,0 days 00:01:15.431000
SAI,55,Williams,6.0,0 days 00:01:15.987000,0 days 00:01:15.198000,0 days 00:01:15.432000
ALB,23,Williams,7.0,0 days 00:01:16.123000,0 days 00:01:15.521000,0 days 00:01:15.473000
STR,18,Aston Martin,8.0,0 days 00:01:15.817000,0 days 00:01:15.497000,0 days 00:01:15.581000
HAD,6,Racing Bulls,9.0,0 days 00:01:16.253000,0 days 00:01:15.510000,0 days 00:01:15.746000
GAS,10,Alpine,10.0,0 days 00:01:15.937000,0 days 00:01:15.505000,0 days 00:01:15.787000
LEC,16,Ferrari,11.0,0 days 00:01:16.108000,0 days 00:01:15.604000,
HAM,44,Ferrari,12.0,0 days 00:01:16.163000,0 days 00:01:15.765000,
ANT,12,Mercedes,13.0,0 days 00:01:15.943000,0 days 00:01:15.772000,
BOR,5,Kick Sauber,14.0,0 days 00:01:16.340000,0 days 00:01:16.260000,
COL,43,Alpine,15.0,0 days 00:01:16.256000,,
LAW,30,Racing Bulls,16.0,0 days 00:01:16.379000,,
HUL,27,Kick Sauber,17.0,0 days 00:01:16.518000,,
OCO,31,Haas F1 Team,18.0,0 days 00:01:16.613000,,
BEA,87,Haas F1 Team,19.0,0 days 00:01:16.918000,,
TSU,22,Red Bull Racing,20.0,,,
