driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:22.877000,0 days 00:01:22.752000,0 days 00:01:22.207000
NOR,4,McLaren,2.0,0 days 00:01:23.178000,0 days 00:01:22.804000,0 days 00:01:22.408000
PIA,81,McLaren,3.0,0 days 00:01:22.605000,0 days 00:01:23.021000,0 days 00:01:22.437000
RUS,63,Mercedes,4.0,0 days 00:01:23.247000,0 days 00:01:22.730000,0 days 00:01:22.645000
LEC,16,Ferrari,5.0,0 days 00:01:23.163000,0 days 00:01:22.948000,0 days 00:01:22.730000
ALO,14,Aston Martin,6.0,0 days 00:01:23.071000,0 days 00:01:22.861000,0 days 00:01:22.902000
BOR,5,Kick Sauber,7.0,0 days 00:01:23.374000,0 days 00:01:22.874000,0 days 00:01:22.904000
OCO,31,Haas F1 Team,8.0,0 days 00:01:23.334000,0 days 00:01:23.023000,0 days 00:01:22.913000
HAD,6,Racing Bulls,9.0,0 days 00:01:23.373000,0 days 00:01:22.997000,0 days 00:01:23.072000
TSU,22,Red Bull Racing,10.0,0 days 00:01:23.386000,0 days 00:01:23.034000,
BEA,87,Haas F1 Team,11.0,0 days 00:01:23.254000,0 days 00:01:23.041000,
SAI,55,Williams,12.0,0 days 00:01:23.187000,0 days 00:01:23.042000,
LAW,30,Racing Bulls,13.0,0 days 00:01:23.265000,0 days 00:01:23.077000,
ANT,12,Mercedes,14.0,0 days 00:01:22.894000,0 days 00:01:23.080000,
STR,18,Aston Martin,15.0,0 days 00:01:23.316000,0 days 00:01:23.097000,
HAM,44,Ferrari,16.0,0 days 00:01:23.394000,,
ALB,23,Williams,17.0,0 days 00:01:23.416000,,
HUL,27,Kick Sauber,18.0,0 days 00:01:23.450000,,
GAS,10,Alpine,19.0,0 days 00:01:23.468000,,
COL,43,Alpine,20.0,0 days 00:01:23.890000,,
