driver,driver_number,team,position,q1,q2,q3
VER,1,Red Bull Racing,1.0,0 days 00:01:16.819000,0 days 00:01:16.387000,0 days 00:01:15.915000
SAI,55,Ferrari,2.0,0 days 00:01:16.731000,0 days 00:01:16.189000,0 days 00:01:16.185000
PER,11,Red Bull Racing,3.0,0 days 00:01:16.805000,0 days 00:01:16.631000,0 days 00:01:16.274000
NOR,4,McLaren,4.0,0 days 00:01:17.430000,0 days 00:01:16.750000,0 days 00:01:16.315000
LEC,16,Ferrari,5.0,0 days 00:01:16.984000,0 days 00:01:16.304000,0 days 00:01:16.435000
PIA,81,McLaren,6.0,0 days 00:01:17.369000,0 days 00:01:16.601000,0 days 00:01:16.572000
RUS,63,Mercedes,7.0,0 days 00:01:17.062000,0 days 00:01:16.901000,0 days 00:01:16.724000
TSU,22,RB,8.0,0 days 00:01:17.356000,0 days 00:01:16.791000,0 days 00:01:16.788000
STR,18,Aston Martin,9.0,0 days 00:01:17.376000,0 days 00:01:16.780000,0 days 00:01:17.072000
ALO,14,Aston Martin,10.0,0 days 00:01:16.991000,0 days 00:01:16.710000,0 days 00:01:17.552000
HAM,44,Mercedes,11.0,0 days 00:01:17.499000,0 days 00:01:16.960000,
ALB,23,Williams,12.0,0 days 00:01:17.130000,0 days 00:01:17.167000,
BOT,77,Kick Sauber,13.0,0 days 00:01:17.543000,0 days 00:01:17.340000,
MAG,20,Haas F1 Team,14.0,0 days 00:01:17.709000,0 days 00:01:17.427000,
OCO,31,Alpine,15.0,0 days 00:01:17.617000,0 days 00:01:17.697000,
HUL,27,Haas F1 Team,16.0,0 days 00:01:17.976000,,
GAS,10,Alpine,17.0,0 days 00:01:17.982000,,
RIC,3,RB,18.0,0 days 00:01:18.085000,,
ZHO,24,Kick Sauber,19.0,0 days 00:01:18.188000,,
