driver,team,position,status,dnf_flag
NOR,McLaren,1.0,finished,0
PIA,McLaren,2.0,finished,0
HUL,Kick Sauber,3.0,finished,0
HAM,Ferrari,4.0,finished,0
VER,Red Bull Racing,5.0,finished,0
GAS,Alpine,6.0,finished,0
STR,Aston Martin,7.0,finished,0
ALB,Williams,8.0,finished,0
ALO,Aston Martin,9.0,finished,0
RUS,Mercedes,10.0,finished,0
BEA,Haas F1 Team,11.0,finished,0
SAI,Williams,12.0,finished,0
OCO,Haas F1 Team,13.0,finished,0
LEC,Ferrari,14.0,finished,0
TSU,Red Bull Racing,15.0,lapped,0
ANT,Mercedes,,retired,1
HAD,Racing Bulls,,retired,1
BOR,Kick Sauber,,retired,1
LAW,Racing Bulls,,retired,1
COL,Alpine,,did not start,1
